seq,tx_ts,rx_ts,latency_ns
487,1763689449027911421,1763689449027829761,-81660
488,1763689449028971145,1763689449028888458,-82687
489,1763689449030030776,1763689449029947969,-82807
490,1763689449031091537,1763689449031009536,-82001
491,1763689449032151391,1763689449032075215,-76176
492,1763689449033210986,1763689449033128856,-82130
493,1763689449034270691,1763689449034188200,-82491
494,1763689449035331341,1763689449035250360,-80981
495,1763689449036391158,1763689449036308946,-82212
496,1763689449037450752,1763689449037369124,-81628
497,1763689449038511513,1763689449038429135,-82378
498,1763689449039571348,1763689449039490110,-81238
499,1763689449040631147,1763689449040548380,-82767
500,1763689449041690852,1763689449041608244,-82608
501,1763689449042751521,1763689449042669292,-82229
502,1763689449043811374,1763689449043730433,-80941
503,1763689449044871024,1763689449044788519,-82505
504,1763689449045930749,1763689449045849104,-81645
505,1763689449046991528,1763689449046909301,-82227
506,1763689449048051400,1763689449047970109,-81291
507,1763689449049111124,1763689449049028509,-82615
508,1763689449050170886,1763689449050088798,-82088
509,1763689449051231776,1763689449051150254,-81522
510,1763689449052291519,1763689449052210488,-81031
511,1763689449053351299,1763689449053268555,-82744
512,1763689449054412060,1763689449054329585,-82475
513,1763689449055471802,1763689449055390226,-81576
514,1763689449056531434,1763689449056448922,-82512
515,1763689449057591158,1763689449057509545,-81613
516,1763689449058651956,1763689449058569834,-82122
517,1763689449059711754,1763689449059630920,-80834
518,1763689449060771497,1763689449060689487,-82010
519,1763689449061831295,1763689449061748683,-82612
520,1763689449062892075,1763689449062809528,-82547
521,1763689449063951854,1763689449063870225,-81629
522,1763689449065011597,1763689449064929736,-81861
523,1763689449066071210,1763689449065988951,-82259
524,1763689449067131786,1763689449067049555,-82231
525,1763689449068191306,1763689449068110178,-81128
526,1763689449069251160,1763689449069168578,-82582
527,1763689449070310495,1763689449070228108,-82387
528,1763689449071371201,1763689449071290601,-80600
529,1763689449072431054,1763689449072348446,-82608
530,1763689449073490723,1763689449073408957,-81766
531,1763689449074551465,1763689449074469302,-82163
532,1763689449075611393,1763689449075530036,-81357
533,1763689449076671154,1763689449076588603,-82551
534,1763689449077730897,1763689449077648337,-82560
535,1763689449078791621,1763689449078710274,-81347
536,1763689449079851382,1763689449079769952,-81430
537,1763689449080911051,1763689449080828723,-82328
538,1763689449081970886,1763689449081888364,-82522
539,1763689449083031591,1763689449082951746,-79845
540,1763689449084091519,1763689449084010109,-81410
541,1763689449085151336,1763689449085067269,-84067
542,1763689449086211041,1763689449086127076,-83965
543,1763689449087271784,1763689449087191440,-80344
